web-scraper-order,web-scraper-start-url,openSecretsId,openSecretsId-href,name,nameDistrict,reportDate,raised,image-src
"1592863089-370","https://www.thegoodparty.org/scrape/incumbents/","N00027523","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00027523","Albio Sires","Rep. Albio Sires - New Jersey District 08","06/17/2020","$352,857","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1592861806-70","https://www.thegoodparty.org/scrape/incumbents/","N00026686","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00026686","Al Green","Rep. Al Green - Texas District 09","03/31/2020","$315,929","https://cdn1.opensecrets.org/congress-members/photos/N00026686.jpg"
"1592862517-221","https://www.thegoodparty.org/scrape/incumbents/","N00009759","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00009759","Rick Larsen","Rep. Rick Larsen - Washington District 02","03/31/2020","$758,009","https://cdn1.opensecrets.org/congress-members/photos/N00009759.jpg"
"1592862447-203","https://www.thegoodparty.org/scrape/incumbents/","N00035440","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00035440","Tom Emmer","Rep. Tom Emmer - Minnesota District 06","03/31/2020","$2,010,775","https://cdn1.opensecrets.org/congress-members/photos/N00035440.jpg"
"1592862451-204","https://www.thegoodparty.org/scrape/incumbents/","N00036403","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00036403","Dan Newhouse","Rep. Dan Newhouse - Washington District 04","03/31/2020","$643,415","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1592861761-61","https://www.thegoodparty.org/scrape/incumbents/","N00034784","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00034784","Rodney Davis","Rep. Rodney Davis - Illinois District 13","03/31/2020","$2,628,451","https://cdn1.opensecrets.org/congress-members/photos/N00034784.jpg"
"1592861870-85","https://www.thegoodparty.org/scrape/incumbents/","N00024852","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00024852","John Cornyn","Sen. John Cornyn - Texas","06/09/2020","$23,948,363","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1592862575-235","https://www.thegoodparty.org/scrape/incumbents/","N00012460","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00012460","William L Clay Jr.","Rep. William L Clay Jr. - Missouri District 01","03/31/2020","$661,160","https://cdn1.opensecrets.org/congress-members/photos/N00012460.jpg"
"1592862813-298","https://www.thegoodparty.org/scrape/incumbents/","N00041599","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00041599","John Rose","Rep. John Rose - Tennessee District 06","03/31/2020","$860,520","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1592861942-100","https://www.thegoodparty.org/scrape/incumbents/","N00006023","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00006023","Lloyd Doggett","Rep. Lloyd Doggett - Texas District 35","03/31/2020","$898,533","https://cdn1.opensecrets.org/congress-members/photos/N00006023.jpg"
"1592861559-4","https://www.thegoodparty.org/scrape/incumbents/","N00041080","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00041080","Joseph Neguse","Rep. Joseph Neguse - Colorado District 02","06/10/2020","$939,854","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1592861975-107","https://www.thegoodparty.org/scrape/incumbents/","N00026460","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00026460","Michael McCaul","Rep. Michael McCaul - Texas District 10","03/31/2020","$2,023,265","https://cdn1.opensecrets.org/congress-members/photos/N00026460.jpg"
"1592862774-287","https://www.thegoodparty.org/scrape/incumbents/","N00038601","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00038601","Jimmy Panetta","Rep. Jimmy Panetta - California District 20","03/31/2020","$1,306,047","https://cdn1.opensecrets.org/congress-members/photos/N00038601.jpg"
"1592861555-2","https://www.thegoodparty.org/scrape/incumbents/","N00001003","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00001003","Eliot L Engel","Rep. Eliot L Engel - New York District 16","06/03/2020","$2,041,943","https://cdn1.opensecrets.org/congress-members/photos/N00001003.jpg"
"1592861995-111","https://www.thegoodparty.org/scrape/incumbents/","N00003522","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00003522","Marcy Kaptur","Rep. Marcy Kaptur - Ohio District 09","03/31/2020","$762,454","https://cdn1.opensecrets.org/congress-members/photos/N00003522.jpg"
"1592863193-401","https://www.thegoodparty.org/scrape/incumbents/","N00000781","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00000781","Frank Pallone Jr.","Rep. Frank Pallone Jr. - New Jersey District 06","03/31/2020","$2,875,502","https://cdn1.opensecrets.org/congress-members/photos/N00000781.jpg"
