web-scraper-order,web-scraper-start-url,link,link-href,name,raised,smallIndividual,largeContributions,pac,selfFinancing,other
"1582361467-832","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=AZ02&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=AZ02&spec=N","Mike Ligon (R)","6,888","0","500","$0","6,888","500"
"1582361480-848","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=NJ09&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=NJ09&spec=N","Alp Basaran (D)","77,238","8,438","18,800","$0","50,000","0"
"1582361143-513","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX14&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX14&spec=N","Robert Thomas (D)","2,318","0","2,033","$0","10","2,173"
"1582360823-105","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=MI10&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=MI10&spec=N","Kimberly Bizon (D)","4,370","2,564","550","$0","1,256","0"
"1582361250-601","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=MI07&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=MI07&spec=N","Christopher Bartholomew Smith (D)","18,041","3,470","1,750","$0","12,821","0"
"1582361007-342","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=PA17&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=PA17&spec=N","Scott Timko (R)","69,589","34,171","29,818","$0","5,600","0"
"1582361344-698","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=NHS2&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=NHS2&spec=N","Bryant 'Corky' Messner (R)","1,473,787","12,179","255,608","$1,000","1,210,000","5,000"
"1582360947-270","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA45&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA45&spec=N","Don Sedgwick (R)","860,196","18,792","834,404","$7,000","0","0"
"1582361154-522","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=COS2&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=COS2&spec=N","John Hickenlooper (D)","4,882,372","985,943","3,674,112","$189,550","5,600","27,167"
"1582360864-166","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX22&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX22&spec=N","Shandon Phan (R)","86,999","6,175","29,200","$0","51,624","0"
"1582361191-552","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=OH12&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=OH12&spec=N","Alaina Shearer (D)","102,771","25,163","80,658","$150","0","3,200"
"1582361697-1052","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=KS01&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=KS01&spec=N","Christy Davis (D)","15,645","3,175","7,200","$0","4,500","770"
