name,state,category
Designated_Market_Area_DMA,VA,Misc
Other,VA,Misc
City_Council_Commissioner_District,WA,City
Proposed_City_Commissioner_District,WA,City
County_Commissioner_District,WA,County
County_Supervisorial_District,WA,County
US_Congressional_District,WA,State
State_Senate_District,WA,State
State_House_District,WA,State
Educational_Service_District,WA,Education
School_Board_District,WA,Education
School_District,WA,Education
Judicial_Appellate_District,WA,Judicial
Judicial_District_Court_District,WA,Judicial
Judicial_Superior_Court_District,WA,Judicial
Water_District,WA,Water
Fire_District,WA,Fire
Fire_Protection_District,WA,Fire
Fire_Protection_SubDistrict,WA,Fire
Fire_SubDistrict,WA,Fire
Rapid_Transit_District,WA,Transit
Transit_District,WA,Transit
Library_Services_District,WA,Service
Airport_District,WA,Misc
Annexation_District,WA,Misc
Cemetery_District,WA,Misc
Community_Council_District,WA,Misc
Conservation_District,WA,Misc
Conservation_SubDistrict,WA,Misc
County_Library_District,WA,Misc
Designated_Market_Area_DMA,WA,Misc
Emergency_Communication_911_District,WA,Misc
Facilities_Improvement_District,WA,Misc
Flood_Control_Zone,WA,Misc
Hospital_SubDistrict,WA,Misc
Library_District,WA,Misc
Mosquito_Abatement_District,WA,Misc
Other,WA,Misc
Park_District,WA,Misc
Port_District,WA,Misc
Port_SubDistrict,WA,Misc
Proposed_District,WA,Misc
Public_Utility_District,WA,Misc
Public_Utility_SubDistrict,WA,Misc
Road_Maintenance_District,WA,Misc
Sewer_District,WA,Misc
Special_Tax_District,WA,Misc
City_Council_Commissioner_District,WV,City
County_Commissioner_District,WV,County
County_Supervisorial_District,WV,County
US_Congressional_District,WV,State
State_Senate_District,WV,State
State_House_District,WV,State
Judicial_Circuit_Court_District,WV,Judicial
Judicial_Family_Court_District,WV,Judicial
Judicial_Magistrate_Division,WV,Judicial
Designated_Market_Area_DMA,WV,Misc
City_Council_Commissioner_District,WI,City
County_Commissioner_District,WI,County
County_Supervisorial_District,WI,County
US_Congressional_District,WI,State
State_Senate_District,WI,State
State_House_District,WI,State
Community_College,WI,Education
High_School_District,WI,Education
School_District,WI,Education
School_Subdistrict,WI,Education
Unified_School_District,WI,Education
Unified_School_SubDistrict,WI,Education
District_Attorney,WI,Judicial
Judicial_Appellate_District,WI,Judicial
Judicial_District_Court_District,WI,Judicial
Designated_Market_Area_DMA,WI,Misc
Sanitary_District,WI,Misc
City_Council_Commissioner_District,WY,City
County_Commissioner_District,WY,County
County_Supervisorial_District,WY,County
State_Senate_District,WY,State
State_House_District,WY,State
Community_College,WY,Education
Community_College_SubDistrict,WY,Education
Unified_School_District,WY,Education
Judicial_District,WY,Judicial
Water_District,WY,Water
Fire_District,WY,Fire
Conservation_District,WY,Misc
Designated_Market_Area_DMA,WY,Misc
Improvement_Landowner_District,WY,Misc
